RecordedDate,Q1:Lawyer,Q2:Lawyer,Q2,Q1:Politician,Q2:Politician,Q3,id
2024-04-17 08:40:33,"they are smart, driven & confident, they can be stern, boring, & egotistical, they are very hard workers, they think they can never be wrong.","lazy, unorganized, shy, unconfident, overly-anxious, bad at focus, bad communication skills",Yes,"corrupt, powerful, organized, communicative, loud, attention-seeking","loving, friendly, philanthropic","hungry, athletic, attractive, tall, fast",33423
2024-04-17 08:44:06,"Toofaced, very smart and hardworking, ","Empathy, emotional ",Yes,Manipulators,introverted,happy ,33411
2024-04-17 08:46:13,"annoying, argumentative, loud, angry","rude, quiet",Yes,"obnoxious, stupid, two-faced, manipulative",shy,"anxious, tired, sad, ",33659
2024-04-17 08:49:49,"Smart, Assertive, Leader, Outgoing","Shy, Scared, ",Yes,"Assertive, Believe that they are always right, Fixed mindset",Shy,"Tired, ",34254
2024-04-17 08:53:11,"smart, quick, literate","stupid, easy going, laid back ",Yes,"'-greedy, power hungry, fair, loyal, stupid, overly ambitious, useless","righteous, moral, good person, empathetic, considerate","killers, murderers, convicts",33311
2024-04-17 08:55:21,"smart, know everything about the law, ",nice,Yes,"liars, only care about money, old",honesty,tired,33083
2024-04-17 08:55:33,"Smart, hardworking, defensive","laziness, unmotivated",Yes,"Republican, Democratic","Shyness, laziness",Thirsty,34047
2024-04-17 08:56:26,"aggressive, serious, scary, liar, rich","light-hearted, soft-spoken, truthful",Yes,"dominant, intelligent, powerful, confident, independent, ambitious","disorganized, dumb, insecure","tired, hungry, social, quiet",33143
2024-04-17 09:01:17,Lawyers are rich. They lie. ,"Honesty, compassion",Yes,They are liars. All old. ,"Honesty, ",Tired,34062
2024-04-17 09:02:31,"Smart, egotistical, thorough","loyalty, humility, fear of public speaking",Yes,"self-centered, liars, frauds","care for everyday people, honesty, critical thinking skills","tired, thirsty, attractive, healthy",34215
2024-04-17 09:03:45,"old, scary","liar, canny",Yes,"stubborn, money-oriented, old","money-oriented, stubborn","old, intelligence",34194
2024-04-17 09:05:30,"smart, organized, ","lazy, unorganized, dumb, unmotivated",Yes,"like to debate, motivated, opinionated","lazy, carefree, go with the flow","athletic, fit",30028
2024-04-17 09:07:31,"They are very demanding, get their way, very smart.","That they are dumb, nice.",Yes,"rude, snobby, demanding. ","that they are nice, caring, not nosy.",sleepy: a lawyer is not going to be more or less likely to be sleepy than an average person.,34377
2024-04-17 09:08:46,"They like to argue, They are rude, They are intelligent",To be good at math,Yes,"They want to be president, they like control","they do not like politics, they are introverted.","hungry, tired, height, age",32089
2024-04-17 09:10:03,"they are smart, they are stern",,Yes,"that they are all crooked, they are old, they are bad for america","a young person, someone who is a girl","tall, short, skinny, fat",34318
2024-04-17 09:18:47,"Liars, Can talk out of any situation.",problem solving,Yes,"corrupt, dishonest","compassion, transparency",Not enjoying same hobbies,34437
2024-04-17 09:19:47,"They are wealthy, they are sociopaths, they are smart, annoying, and clever, they manipulate the law, they have a prestigious background","They didn't work hard, they are bad at their job, they care about people, they are sloppy, they are unorganized, they dress poorly",Yes,"They are greedy, They are sociopaths, They are vested in their own interests, they are racist, they are smarter, they are wealthier, they control our society","They believe in global warming, They care about our citizens and our countries wellbeing, they are not wealthy, ","boring, lonely, excited, healthy, thirstier, popular",34331
2024-04-17 09:22:11,cunning and ambitious ,creativity ,Yes,They are corrupt or power and money hungry.,Selfless intent,tired,34010
2024-04-17 09:25:02,lawyers are smart,they dont have work,Yes,they are smart,they dont have homework,they will have less friends,34388
2024-04-17 09:26:47,"Smart, argumentative, strong-willed, organized","Lazy, unorganized, people pleaser",Yes,"Strong-willed, smart, biased","quiet, open minded, ","happy, tired, hungry",33893
2024-04-17 09:32:56,"'-They are mean, they have no soul, no life",'-They have no choice on wether the person is guilty or not guilty ,Yes,'-Republicans are bad ,"'-They have a life, and may not be as bad as people make them out to be, they have a reasoning for every decision they make. ",Their personalities ,32815
2024-04-17 09:34:43,"good at lying, snobby, smart, convincing ","Emotions, integrity, biases ",Yes,"rude, argumentative, one-sided","Morals, understanding, appropriate ","Caring,Tired, Emotinal",34397
2024-04-17 09:35:00,"Lawyers can be smart, driven, money motivated, organized, confident","illiterate, poor, not professional  ",Yes,"crooked, corrupt, liars, old, majority white men, puppets","transparency, free will, unbiased  ","social, selfish ",32008
2024-04-17 09:35:20,"ignorant person, dependence of guilt","backstabbing-ness, shy, underqualified, uneducated ",Yes,"smart, annoying, rich, famous, powerful","uneducated, dumb, erratic, puppets, uninformed","unified, embarrassed, average, boring",33771
2024-04-17 09:42:27,"confidence, persistent, extraversion","honesty, agreeableness, humble, humility",Yes,"Sneaky, Deceitful, They are always in it just for themselves, they lie about certain things to gain the votes of citizens.","Empathy, kindness, openness, honesty","tired, thirsty, social, happy",33500
2024-04-17 09:46:23,,impatient ,Yes,biasced ,anger,na,27299
2024-04-17 09:46:52,"aggressive, workaholic, dishonest",High-stress situations. ... Long hours. ... Expensive education. ... Not as many client opportunities. ... Client's aren't spending as much. ... Threat of outsourced legal work. ... Negative stigma. ... Difficult clients.,Yes,Male,Women can have a huge role,it is considered polite to shake hands when you meet someone new,33361
2024-04-17 09:47:16,some stereotypes about lawyers that undergraduates might believe are that they are sharks and that they only care about money,Some traits that undergrad might not believe about lawyers are that they care about justice and they want to help people ,Yes,"many stereotypes about politicians that undergraduates have are that they are liars, cheater and do not have the people’s best interest in mind ",some traits that undergrads might not believe about politicians are that they care about the people they are in charge of ,some traits that undergraduates might not associate with any social group caring and selflessness ,31961
2024-04-17 09:49:40,That lawyers solve crime issues and can help you not to jail from a court case,That no one believes lawyers are gods,Yes,that they argue about the other side,that they are god,that if they are weird or not social with others,33683
2024-04-17 09:55:24,"Cold and feelingless people, rude or not empathetic ",warm and empathetic ,Yes,"Talkative and communication, arguing, pushy ",openness to opposing opinions ,"thirsty, nail shape, teeth color ",25209
2024-04-17 09:56:21,"direct, pushy, proud, narcissist","open-minded, honest, kind",Yes,"rude, close-minded, bias, corrupt","kindness, best interest, not bias","strategic thinking, problem-solving",33356
2024-04-17 09:56:48,"Greedy, helpful","In it for the other person, kind hearted",Yes,"Greedy, selfish, arrogent.","Truly caring about those they serve, open minded","Greedy, selfish",33670
2024-04-17 10:04:38,"argue, fight for you","quiet, composed",Yes,"fake, liars",quiet,"calm, chill",34293
2024-04-17 10:07:25,"cold, heartless, passive","covered in tattoos, a criminal record, alcoholic ",Yes,"corrupt, white, men","caring, inclusive, etc","tired, angry, sad, happy",30908
2024-04-17 10:09:37,uptight strict not fun ,carefree ,Yes,evil money hungry,family oriented nice ,mean strict less joyfyul,33696
2024-04-17 10:17:49,"smart, serious, stern, and confident","easy going, lazy, or unmotivated ",Yes,strong willed and confident,"funny, laid back, unbothered, and careless",excited,32789
2024-04-17 10:19:04,"hardworking, busy, multitaking, strong, smart",easily persuaded,Yes,"Greedy, out of touch","not hard working, in touch with reality, care for all people equally","hungry, in shape, ",33689
2024-04-17 10:23:18,"Stuck up, Full of themselves, quiet and to them selves.","Partier, reckless, not driven, careless.",Yes,"Confident, driven, hardworking.","Careless, Sloppy, Quiet, Dull.","Cold (temp wise), tired, thirsty, pretty.",33123
2024-04-17 10:25:20,"manipulative, workaholic, and not trustworthy","honest, compassionate, understanding",Yes,"greedy, Don't care about the people they don't advocate for, sell themselves to companies to make more money",resistance to change,"poor, sad, unmotivated",33557
2024-04-17 10:27:41,"Super serious, unethical, money driven. ",Understanding,Yes,"untrustworthy, hard to believe",Altruistic ,"Hungry, thoughtful",28159
2024-04-17 10:29:51,"money hungry, bad people, suspicious ","middle class, have lots of free time, lazy",Yes,"shady, liars, bad people","truthful, real, trustworthy","healthy, active, tired",31626
2024-04-17 10:29:57,Bias sterotypeical ,"understanding, compassnite worried",Yes,"bias, arrogant, close minded","oopen minded, ","happy, peaceful, overweight",34081
2024-04-17 10:31:43,"smart, in charge",non involved,Yes,"leader, in charge","unorganized, dumb","athletic, strong",28625
2024-04-17 10:34:42,"they can be bias, sometimes they may know the truth and lie about it, they could be helping out a family member","they might be telling the truth, they have a hard job, they may not like their client",Yes,"many people don't know much about politicians, they might just believe what their parents believe",its more that just who the president is,"they have families, they have their own lives, they are all still human and should be treated the same as everyone else",32952
2024-04-17 10:37:27,,,Yes,,,,33865
2024-04-17 10:39:08,"Intelligent, hardworking, driven ","Nice, easygoing, personable ",Yes,"Greedy, rich, intelligent","Corrupt, nice, humble","Funny, thirsty, cold",33841
2024-04-17 10:45:20,"Serious, talkative, literal","Narcissism, dishonesty",Yes,"They're too old. They are full of lies and conspiracies. They promise the people lots, but don't deliver.","Homosexuality, raunchy","Tall, short, loud, quiet, bad vision, has a lisp",34210
2024-04-17 10:47:33,hard working,lazy,Yes,stuck up,empathy for everyone,Psychotic ,34297
2024-04-17 10:49:25,they make a lot of money,"nice, reasonable",Yes,"make lots of money, good leaders","nice, being a follower","hungry, happy, sad",33323
2024-04-17 10:58:11,"Serious, unhappy, brave, confident","insecure, quiet, energetic",Yes,"Rude. arrogant, hardworking, serious, extroverted","Quiet, secretive, comical","tall, active, tired, thirsty",33603
2024-04-17 11:00:23,"mean, angry, hardcore","gentle, kind",Yes,"evil, liars",tustworthy,lazy,24504
2024-04-17 11:01:01,"intelligent, greedy, witty, cunning, wealthy, insincere, robberbarons","compassion, empathy, sincerity, laidback, loose",Yes,"insincere, twosided, compromised, crooked, divulsive","compassion, empathy, sincerity, faithfulness, integrity","family-oriented, depressed, happy, purposeful, religiously devoted, cordial",33777
2024-04-17 11:03:20,loud,empathy,Yes,"Rude, aggressive, misogyistic ",Empathy,"healthy, excited, happy",21888
2024-04-17 11:07:51,"rich, rude","giving, nonconfuntational ",Yes,they are very strong about their opinions ,carefree,"sick, cold, warm ",33518
2024-04-17 11:12:35,They are smart and that they can be manipulative,I do not know,Yes,They are heartless and always causes problems,That they care about people,Not sure,33202
2024-04-17 11:13:26,"firm, mean, rude, unemotional, jewish, no empathy","bubbly, fun, funny, loud, kind",Yes,"serious, care about the country, good public speaking, fake","funny, bubbly, relaxed, incompetent ","hungry, funny, loyal, confident, honest, humble, grateful, optimistic, kind",28552
2024-04-17 11:13:31,"smart, rich, rule bending","dumb, completely honest",Yes,"liars, cheaters, dirty, don't pay taxes","honest, rude","you are more likely to be rich, you are more likely to have powerful friends, you are more likely to make change, less likely to have poor friends",33546
2024-04-17 11:19:42,ruthless,lazy,Yes,"greedy, not truthful","kindness, understanding",probably doesn't make you less wealthy.,32876
2024-04-17 11:19:55,They are only interested in making money and are greedy. Lawyers are dishonest and will do anything to win a case. They are manipulative and deceitful in their dealings. Lawyers are elitist and out of touch with the average person. They are workaholics and have no work-life balance. Lawyers are overly formal and lack personality or humor. They are only interested in high-profile cases and celebrities. Lawyers are ruthless and will trample over others to get ahead. They are overly focused on technicalities and loopholes rather than justice.,"Compassion and empathy towards clients and their situations. Strong communication skills, both in legal contexts and interpersonal interactions. Commitment to pro bono work and community service. Ability to work collaboratively with colleagues and clients. Dedication to upholding ethical standards and integrity in all dealings.",Yes,They are assholes ,enuine empathy and compassion for constituents. Sincere commitment to transparency and accountability. Willingness to prioritize public interest over personal or party agendas. Consistent adherence to principles and values regardless of political expediency.,Having a preference for sweet or savory foods. Enjoying outdoor activities such as hiking or camping. Being introverted or extroverted. Having a favorite color. Enjoying listening to music. Being a morning person or a night owl. Having a sweet tooth or preferring salty snacks. Enjoying reading books for pleasure. Having a fear of heights or spiders. Being good at math or language arts. Having a favorite season. Enjoying watching movies or TV shows. Being a pet lover or not. Having a preference for coffee or tea. Being a good dancer or not.,34433
2024-04-17 11:20:46,"hard working, determined, boring, quiet","outgoing, can hold conversations",Yes,"dirty, furthering their own agendas, selfish",thinking on their feet ,"tired, happy, fit ",34286
2024-04-17 11:22:43,Theyre bias,A kind heart,Yes,"ruthless, power hungry",empathy,violent,34125
2024-04-17 11:24:35,"smart, rich","poor, dumb",Yes,"rude, rich","poor, nice","racial groups, lgbtq",33936
2024-04-17 11:25:08,"smart, know-it-alls, busy, can win arguments","understandable, considerate, shy, ",Yes,"confident, argues, hot-headded","shy, conservative, quiet","pretty, size, ",33298
2024-04-17 11:27:12,shady and rich,poor or lazy,Yes,probably that they are liars but that they are charming ,"honesty, being quiet or shy","kind, happy, fulfilled ",34274
2024-04-17 11:28:34,Lawyers are very confident and strong willed people that cannot be messed with.,I would not expect a lawyer to joke around a lot.,Yes,Donald Trump is loud. Joe Biden is old. All people that are republican like trump. All people that are democrat like Biden.,I would not expect a politician to be polite.,thirsty,33804
2024-04-17 11:33:03,"mean, judgemental, stubborn","gullibile, stupid",Yes,"hard-headed, leaders",weak leadership skills,good looking,27444
2024-04-17 11:38:31,"highly egotistical, Smart, In it for money not morals","Family Oriented, Have time on their hands, do not care about money",Yes,"They are liars, do not care about the people, they are in it to benefit themselves. ","They keep their word, they focus on important policies","Hunger, Wanting to Win, enjoying materialistic items, Love",32864
2024-04-17 11:55:38,"Smart, Leaders, Readers, Charismatic","Soft spoken, sacred, un-charismatic ",Yes,"Liars, Cheater, Con-artist, charismatic, ","Truthful, Impactful, trustworthy","Sleepy, Horny, ",31066
2024-04-17 11:56:01,always studying ,does not have time to be social ,Yes,confident ,assertive ,lazy,33513
2024-04-17 11:58:15,"though, stern, work long hours","weak, barely work",Yes,Out dated & old ,"high percentage of women, young","athletic, happy ",27746
2024-04-17 12:12:44,"Sly, Smart, Convincing, Persuasive, Cunning, Passionate","Compassionate, dumb, easily manipulated, unprepared",Yes,"Vocal or Loud, Persuasive, Corrupt, Personable, Convincing","Humble, Accepting of their own faults, Unprepared","Hot, Cold, Thirsty, Anxious, Tired",33517
2024-04-17 12:14:19,"intelligent, logical, charismatic","irrational, empathetic",Yes,"Robotic, fake, dishonest","quick-tempered, unintelligent","caring, ambitious, understanding",33600
2024-04-17 12:18:20,"smart, manipulative","Gentle, Caring",Yes,"Corrupt, manipulation ",Fake news,tall,33934
2024-04-17 12:20:17,"mean, disciplined, back-stabbing, entitled","selfless, kind, truthful",Yes,liars,truthful,joyful,27583
2024-04-17 12:20:30,"Lawyers are cocky, judgemental, over-achiveing ",Down-to-earth,Yes,"Corrupt, pedophile, lying, two-faced","Good-natured, honest",Thirsty,30996
2024-04-17 12:23:20,"Greedy, heartless","nice, mean, heartless",Yes,"Corrupt, power hungry, Bias","Bias, Nice, Evil, Not caring, not serious",Happy,34300
2024-04-17 12:27:39,"Serious, unfeeling, smart","Empathetic, dumb, athletic",Yes,"They are pompous, serious, uncaring, cocky","Caring, genuine","Thirsty, organized,",34348
2024-04-17 12:33:01,"they make a lot of money, stressful job, boring, work lots of hours","school is easy, they are unintelligent ",Yes,"hot headed, two faced, loud",not passionate ,"cranky, active, sleepy",34390
2024-04-17 12:33:28,"rude, smart, money hungry, etc.","dumb, genuineness, conforming",Yes,"Money hungry, rude, a need for power","caring, selfless ","Sad, angry, happy",33780
2024-04-17 12:35:26,strict,shy,Yes,Old,kind,Hungry,33945
2024-04-17 12:38:59,"Greedy, knowledgeable, and workaholics ","soft spoken, naive, simplistic",Yes,"Dishonest, self obsessed, corruption, and lack of transparency","Selflessness, Humility, Open-minded, and Accountability ","skills in art, wood working, extreme sports",34408
2024-04-17 12:39:24,factual ,kindness,Yes,"stubborn, cocky, mean",trust,poor,33824
2024-04-17 12:40:42,"Agressive, Dishonest","Open, Talkative",Yes,"Not truthful, Egotistic",Empathy,"Tall, Short, Sleep Schedule",30016
2024-04-17 12:44:24,they like to argue,idk,Yes,idk,idk,idk,34118
2024-04-17 12:46:08,"smart, ignorant, stuck up","fun, relaxed",Yes,"smart,, biased",relaxed,physical health,32983
2024-04-17 12:49:40,That they are more strong-headed but also really smart and know how to communicate well. ,Someone who is super shy and doesn't like to talk to people. ,Yes,"That they are very opinionated and know how to speak their mind when needed. Also, that they keep up with the government and news a lot. ",Someone who doesn't really have a strong opinion towards politics or someone who is pretty shy.,"energized, proud, sad",33332
2024-04-17 12:50:07,lawyers are mean people with no emotion,a person with empathy,Yes,politicians only care about money. Don't listen to the majority of the people they are representing,able to come to a compromise,"able to see, able to think, able to drive a car",33538
2024-04-17 12:53:48,"rich, bossy, argumentative  ","silent, poor",Yes,"lier, deceiving ","Fairness, truthfulness ","poor, fun",33669
2024-04-17 12:55:08,Egotistical,"Not clever, nice, ",Yes,"Stuck up, rich, stubborn, sneaky, shady, slick, smart, educated, Ivy League school, and old","Young, not educated, ","hungry, bored, sleepy, and tired",33033
2024-04-17 12:58:03,"Arrogant, Unethical, Manipulative","Workaholics, Ambitious, Competitive",Yes,"Dishonesty, Corruption, Manipulative","Opportunistic, Divisive","lazy, boring",34212
2024-04-17 12:58:48,"cold, firm, intimidating","soft-hearted, kind",Yes,"greedy, liars, off-putting","compassion, empathy",tired,33680
2024-04-17 13:04:49,"Argumentative, cold, busy",Scared,Yes,Old,Argumentative,Overcomplicated,30111
2024-04-17 13:05:14,"smart, outgoing, logical, determined, straight-forward, rich","funny, relaxed/laidback, poor, introverted, nervous/anxious, dumb",Yes,"criminals, child predators, rich, old money, old, white, men, educated","young, lgbtq+, poor, person of color, honest, safe, law-abiding, tax-paying","thirsty, tired, annoyed, stressed, sad, angry, happy, loving",24297
2024-04-17 13:08:50,idk,idk,Yes,idk,idk,idk,30607
2024-04-17 13:09:26,"rich, intelligent, sneaky","dumb, lazy, humble",Yes,"Evil, wealthy, greedy, hateful","compassion, honesty","thirsty, arousing",33877
2024-04-17 13:09:32,"Smart, Stressed, rich, argumentative, busy, ","Hardworking, self made, connections, considerate",Yes,"Liars, connected, ""daddys money"", rich, self centered","Selfless, stressed, smart","Stressed, thirsty, hardworking, homesick, ",34218
2024-04-17 13:13:26,"Lawyers worked hard in school, lawyers are smart",I don't know ,Yes,Politicians are corrupt,I don't know ,"Angry, happy, thirsty, hungry, sad, healthy ",31971
2024-04-17 13:14:15,"That they're snooty, politically aggressive/gets in political arguments, smart, good readers.","No knowledge on politics, a low work drive, unorganized.",Yes,"Stuck up, square minded, argumentative.","Empathy, understanding and acceptance of views that aren't their own",athletic,28614
2024-04-17 13:16:23,"white, middle aged, rude, aggressive, liar, rich","law breaker, insecure, shy, introverted",Yes,"liars, middle aged, law breakers, egotistical, selfish, white","shy, overly sympathetic, uneducated ","loving, family oriented, confident, driven",34171
2024-04-17 13:16:49,"smart, studious, strict, firm, content, hardworking, outgoing, demanding, professional, stern, empathetic ","aggressive, breezy, hateful, gulliable, thoughtless, timid, uncaring, sloppy, single-minded, unconvincing, weak",Yes,"professional, misguided, forceful, independent, leader, self-confident","kind, compassionate, adventurous, athletic","clean, healthy, knowledgeable, observant",33665
2024-04-17 13:18:42,"They're harsh, money driven, stern, determined",Prejudice ,Yes,"They're corrupt, they are self severing","Racism, sexism, discrimination",Stressed,33633
2024-04-17 13:20:06,"trustworthy, loyal, creative","dishonest, untrustworthy, ",Yes,"leaders, overexagerrators, loyal, idealistic","dishonest, unloyal, unlawful, sketchy","poor, unethical, moody",31456
2024-04-17 13:22:38,"Educated, Rich",Representative,Yes,"Greedy, Unqualified","Qualified, Fair, Representative, Listening ","Tired, Thirsty, Wealthy",34443
2024-04-17 13:23:28,,"bad working, not focused, bad under pressure, bad at reading, bad at public speaking",Yes,"Money hungry, corrupt, shady",Extreme Shyness Disinterest in Power Non-Strategic Tech-Aversion Complete Transparency Apathy Towards Public Opinion Total Lack of Ambition,i dont know,34253
2024-04-17 13:27:06,"Rich, Wise, Smart","Dumb, unorganized",Yes,"Liars, cheap, evil, corrupt","Honest, Mean","Motivated, Athletic",33233
2024-04-17 13:40:31,"Helpful, intimidating","Unqualified, lazy",Yes,Liberal Side-Biden Conservative-Trump,Super friendliness,"overweight, athletic",33754
2024-04-17 13:50:20,"good liars, rich, clean, up-tight, parents were also lawyers, good at arguing ",being truthful,Yes,"good liars, bad people, don't really care about the consequences of their actions, irrational, irresponsible, rich, little to no real life experience ","being a good person, being truthful and trustworthy, has alternate life experiences","lying, educated, experienced ",28553
2024-04-17 13:50:47,"argumentative, strong willed","sensitive, push over",Yes,"argumentative, stern, authoritative ","calm, quiet","driven, stressed",33360
2024-04-17 13:54:34,"hard workers, smart, boring, intelligent","partyer, lazy",Yes,"strong, smart, argumentative","go with the flow, see both sides","kind, normal, ",34255
2024-04-17 13:56:53,"Strongminded, rich, argumentative","weakminded, poor",Yes,"Many believe politions are currupt, selfish, and hateful.","Poor, kind","happy, embarrassed",33842
2024-04-17 14:05:10,"Rich, greedy, white","Just an undergraduate degree, less wealthy, not outspoken",Yes,"greedy, money hungry, power hungry, loud","softspoken, willing to everyone's ideas","basic human needs; showering, eating, drinking. having people they can count on in life",33647
2024-04-17 14:05:27,They are knowledgeable about the law,Being good at medicine or stem,Yes,i believe students are more liberal than other people our age,"Being a good person, most politicians are seen as shady",Thirsty,33587
2024-04-17 14:14:13,"They work a lot, very smart, educated","dumb, unintelligent",Yes,"they are unreliable, unhelpful, some are better than others, etc.","fun, silly, very charasmatic","thirsty, athletic, skinny, tall, short",34380
2024-04-17 14:24:26,"rich, studious, rigorous ","partys, fun, unorganized ",Yes,"selfish, stuck up ","partys, unorganized, ","rude, selfish ",33957
2024-04-17 14:26:44,"Money hungry, stressed, pragmatic","Caring, understanding",Yes,"old, selfish, pragmatic, uncaring, guilty, evil, stupid, money hungry, white, male","Grounded, caring, understanding, driven, humble","wanting of care, basic needs, gets stressed, has their own wants and needs",23829
